Title,Agency,Description,Who's it for,What it gives,Link,Background Image Link,Scheme Type,search_booster(WL)
Home Ownership Plus Education (HOPE) Scheme,Ministry of Social and Family Development (MSF),"Assistance for young, low-income parent(s) who choose to keep their family small so that they can focus their resources on giving their children a head start, and improve their financial and social situation. Includes grants and support for training, employment, utilities, housing, bursaries, mentoring and family support",Low income families,"Financial assistance for daily expenses,Financial assistance for education,Employment assistance",https://www.msf.gov.sg/assistance/Pages/Home-Ownership-Plus-Education-HOPE-Scheme.aspx,https://chidnast.sirv.com/SchemesSG/msf.jpg,"Family,Low Income,Education,Housing","Family planning, low income, no money for food, daily needs, big family"
iNSPIRE Fund,Infocomm Media Development Authority (IMDA),"The iNSPIRE Fund scheme offers financial assistance to full-time students (aged 25 and below) who are unable to co-pay for their PC-Bundle. Successful applicants will render between 3 to 12 hours of community service*, depending on the type of computer model selected, to receive a fully-paid desktop/laptop.","Students,Low income families",Subsidy for computers,https://www.imda.gov.sg/programme-listing/neu-pc-plus/inspire-fund,https://chidnast.sirv.com/SchemesSG/imda.jpg,"Family,Low Income","Cannot afford to buy laptop, need laptop and computer for school"
Interim Disability Assistance Programme for the Elderly (IDAPE),Ministry of Health (MOH),Financial help to needy and disabled elderly Singaporeans who were not eligible to join ElderShield when it was launched in 2002 because they had exceeded the maximum entry age or had pre-existing disabilities.,"Elderly,Low income",Financial assistance for elderly with disabilities,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/interim-disability-assistance-programme-for-the-elderly,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Chronic, poor, elderly cannot work due to health, cannot move"
Kindergarten Fee Assistance Scheme (KiFAS),Early Childhood Development Agency (ECDA),Means-tested subsidy ranging $21 to $170 to assist with kindergarten fees for low- and middle-income families,Children from low income families,Financial assistance for kindergarten fees,https://www.ecda.gov.sg/Pages/Subsidies-and-Financial-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/ecda.jpg,"Caregiver,Childcare","Kindergarten fees, preschool, need money for school fees, nursery"
Kindergarten Fee Assistance Scheme (KiFAS) Start-Up Grant,Early Childhood Development Agency (ECDA),"Yearly grant provided to cover initial costs of enrolling the child in a kindergarten, such as the registration fee, deposit, school uniform, insurance, education material fee and supplementary fee.",Children from low income families,Financial assistance for kindergarten fees,https://www.ecda.gov.sg/Pages/Subsidies-and-Financial-Assistance.aspx,https://chidnast.sirv.com/SchemesSG/ecda.jpg,"Caregiver,Childcare","Kindergarten fees, preschool, need money for school fees, nursery, childcare"
LBKM Bursaries,Lembaga Biasiswa Kenangan Maulud (LBKM),Various education bursaries for primary to post-graduate degree study,"Students,Malay Muslim",Financial assistance for education,http://lbkm.org.sg/bursary-scholarship/lbkm-bursaries/,https://chidnast.sirv.com/SchemesSG/lbkm.jpg,Education,"Bursary, scholarship, madrasah"
Lease Buyback Scheme,Housing and Development Board (HDB),"Through the Lease Buyback Scheme (LBS), you will be able to monetise your flat to receive a stream of income in your retirement years, while continuing to live in it.",Elderly,Monetising flat for retirement income,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/monetising-your-flat-for-retirement/lease-buyback-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Retirement, reverse mortgage, old age, money for retirement, money for old age"
Linkage to Care,Action for AIDS (AFA),"We will subsidise your first visit to Tan Tock Seng Hospital’s National Centre for Infectious Diseases (TTSH/NCID), Singapore General Hospital (SGH), National University Hospital (NUH) & Changi General Hospital (CGH), up to a maximum of $200. This will help to cover the major portion of the cost of laboratory tests and consultation charges on your first visit.",HIV patients,Financial assistance for HIV patients,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-1,https://chidnast.sirv.com/SchemesSG/afa.jpg,Healthcare,"Hospitalisation fees, healthcare subsidy, see doctor no money"
Long / Short Term Aid,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Assistance for living expenses, medical assistance, education grants, regular care visits, etc. The various types of assistance are provided in accordance with each household’s pressing needs, which are determined based on quarterly needs assessments and monthly visits conducted by volunteers.","Low income,Low income families,Elderly,Children from low income families","Financial assistance for daily expenses,Financial assistance for education,Befriending",https://www.tzuchi.org.sg/en/our-missions/charity/long-short-term-aid/,https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,Healthcare,"Financial assistance, money for daily expenses, household needs, befriending"
Matched Retirement Savings Scheme,Central Provident Fund (CPF),"Implemented in 2021 to help senior Singaporeans, with Retirement Account savings less than the current Basic Retirement Sum (BRS), build their CPF retirement savings for higher monthly payouts in retirement. Under the scheme, the Government will match every dollar of cash top-ups made to the Retirement Account of eligible members up to an annual cap of $600.",Caregivers,Matching contributions for retirement security,https://www.cpf.gov.sg/Members/FAQ/schemes/retirement/matched-retirement-savings-scheme,https://chidnast.sirv.com/SchemesSG/cpf.jpg,Family,"Retirement, income security, old age"
Matthew 25 Soup Kitchen,Church of the Nativity,Free meals - Operates 6 days a week (excluding Sundays and Public holidays). All are welcome.,Need food support,Food,http://www.nativity.sg/index.php/pastoral/soup,https://chidnast.sirv.com/SchemesSG/nativity.jpg,Low Income,"Food, hungry, have not eaten, rations, Nothing to eat, famished, no money, no money to buy food, no money for daily needs"
Medical Fee Exemption Card,"Ministry of Social and Family Development (MSF), Ministry of Health (MOH), Agency for Integrated Care (AIC)","Covers standard medical and hospitalisation treatments at public healthcare institutions (including polyclinics) and intermediate and long-term care (ILTC) institutions for needy residents of MOH-funded nursing homes, or MSF-funded sheltered and disability homes.","Elderly,Need ILTC services",Exemption from medical fee for certain healthcare services,https://www.msf.gov.sg/assistance/Pages/Medical-Fee-Exemption-Card.aspx,https://chidnast.sirv.com/SchemesSG/moh%20msf%20aic.jpg,"Healthcare,Low Income,Family,Caregiver","Poor, no money to see doctor, healthcare subsidy, can't afford medical fees"
Medical Service,Singapore Buddhist Free Clinic,Singapore Buddhist Free Clinic provides the general public with outpatient consultation in Traditional Chinese medicine (TCM) including acupuncture.,General public,Free TCM,https://www.sbfc.org.sg/medical-service,https://chidnast.sirv.com/SchemesSG/sg-buddhist-free-clinic.jpg,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Medicine Subsidies for HIV/AIDS Sufferers,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),"Tzu Chi established cooperation with Communicable Disease Centre (CDC), to assist impoverished AIDS/HIV sufferers with the costs of their expensive medications. For each referral case, a home visit team will personally visit the patient to make an assessment, and eligible cases will receive medicine subsidies ranging from $100 to $1,500 from the Foundation.",HIV patients,Financial assistance for HIV patients,https://www.tzuchi.org.sg/en/our-missions/charity/medicine-subsidies-for-hiv-aids-sufferers/,https://chidnast.sirv.com/SchemesSG/tzuchi.jpg,Healthcare,HIV and AIDS patients
Medisave Care,Central Provident Fund (CPF),"After setting aside a minimum amount to ensure adequacy for other medical expenses, severely disabled Singapore Citizens and Permanent Residents will be able to withdraw up to a total of $200/month from their own and/or their spouse’s MediSave account for long term care",Severely disabled,Regulatory waiver to allow supplementing healthcare fees with Medisave,https://www.cpf.gov.sg/members/FAQ/schemes/healthcare/medisave/FAQDetails?category=healthcare&group=MediSave&ajfaqid=4651197&folderid=12909,https://chidnast.sirv.com/SchemesSG/cpf.jpg,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Merdeka Generation Package,Ministry of Health (MOH),"Passion Silver card top-up, additional subsidies for outpatient care, MediSave top-ups, additional MediShield Life premium subsidies, additional CareShield Life participation incentive",Elderly,Financial assistance for healthcare,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/merdeka-generation-package,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Ministry of Education – Financial Assistance Scheme (MOE-FAS),Ministry of Education (MOE),"Help needy Singaporean families reduce their burden in meeting essential school fees, expenses and to ensure that no child will be denied an education due to financial reasons.",Children from low income families,Financial assistance for education,https://beta.moe.gov.sg/fees-assistance-awards-scholarships/financial-assistance/,https://chidnast.sirv.com/SchemesSG/moe.jpg,"Low Income,Education","School fees, students, child, children, study, buy books, bursary, young kids"
Mobile Access for Seniors,Infocomm Media Development Authority (IMDA),"Mobile Access for Seniors is a scheme that supports the Seniors Go Digital programme. It provides subsidised smartphone and mobile plan to lower-income seniors who want to go digital, but cannot afford them.","Low income,Elderly",Technology assistance for low income elderly,https://www.imda.gov.sg/programme-listing/Mobile-Access-for-Seniors,https://chidnast.sirv.com/SchemesSG/imda.jpg,"Elderly,Tech","Elderly, computer"
Muis Monthly Zakat Financial Assistance,Majlis Ugama Islam Singapura (MUIS),Muis works in partnership with appointed Social Development (SD) mosques to provide basic services and support programmes meant for the poor and needy (asnaf fakir and miskin).,"Low income,Low income families","Financial assistance for daily living,Debt settlement services,Emergency assistance,Burial expenses",https://www.muis.gov.sg/Zakat/Financial-Assistance/Zakat-Assistance-Schemes-and-Programmes,https://chidnast.sirv.com/SchemesSG/muis.jpg,"Low Income,Family","Financial assistance, poor, low income, need money to buy daily needs, food, hungry, Malay Muslim"
MUIS Special Needs Trust Scheme,Majlis Ugama Islam Singapura (MUIS),"Eligible families with PSNs will receive support to set up a trust with SNTC, thus safeguarding the well-being and long term needs of their loved ones when there is no longer a caregiver for them.","Muslim community,Special needs children,Parents","Support in setting up a trust,Support in legacy planning",https://www.muis.gov.sg/Our-Services/Financial-Schemes/Muis-Special-Needs-Trust-Scheme,https://chidnast.sirv.com/SchemesSG/muis.jpg,"Special Needs,Loss of Breadwinner","Special needs, legacy planning, trust fund, caregiving, after she's gone, after he's gone, caregiver passed away, take care of him when no longer around, take care of her when no longer around"
Mutual Help and Care,Bo Tien Welfare Services Society,The food ration programme is tasked as additional tier assistance to the destitute and needy families with the referral from Community Development Council. The distribution also extended to the elderly who are on Work Transition Support Scheme or with multiple financial difficulties reviewed by Community Development Council.,"Low income,Low income families,Need food support",Food,http://www.botien.org.sg/new_09/mutual-help-n-care.php?pid=0,https://chidnast.sirv.com/SchemesSG/Bo%20Tien.jpg,"Low Income,Food","Food, hungry, have not eaten, rations"
Neighbourhood Assistance Fund (NAF),Bless Community Services,"The Neighbourhood Assistance Fund seeks to provide emergency relief or short term assistance to individuals and families who face an unexpected hardship (unexpected loss of job, retrenchment etc), causing a significant impact on their household income by assisting with daily needs. Emergency Relief Assistance is meant to meet basic necessities such as food, groceries, transport and other daily expenses only. Short Term Relief Assistance is meant to tide an individual or family over some time while longer term assistance at a Social Service Office or at another agency is pending approval.","Low income,Low income families,Retrenched",Financial assistance for daily living,https://www.bless.org.sg/our-services/community-connect/neighbourhood-assistance-fund/,https://chidnast.sirv.com/SchemesSG/bless.jpg,"Low Income,Food","Poor, need money to tide over difficulties, money for daily needs, retrenched, daily living expenses, low income, bridging"
NEU PC Plus,Infocomm Media Development Authority (IMDA),"The NEU PC Plus programme supports low-income households with school-going children or persons with disabilities (“PWDs”) with broadband access and computer ownership. Eligible beneficiaries are provided a Personal Computer (“PC”) bundle comprising a subsidised PC and three years free broadband subscription, from $224.97 (inclusive of GST). Students who are unable to co-pay for the PC can be further supported through the iNSPIRE Fund","Low income,Family",Computer for children from low-income households,https://www.imda.gov.sg/programme-listing/neu-pc-plus,https://chidnast.sirv.com/SchemesSG/imda.jpg,"Tech,Education,Low Income","Children, disabled, schoolchildren, need computer for school, no money to buy laptop, computer, schooling supplies"
Paddy Chew Patient Welfare Fund,Action for AIDS (AFA),AFA’s longest-running medications subsidy to provide critical and timely financial support to lower the cost of medication. Anti-retroviral medications are not classified as standard drugs in Singapore and the financial burden can deter adherence to treatment.,HIV patients,Financial assistance for HIV patients,https://afa.org.sg/whatwedo/support/coordinatedcare/financialsupportprogrammes/#toggle-id-2,https://chidnast.sirv.com/SchemesSG/afa.jpg,Healthcare,"HIV and AIDS patients, HIV positive, AIDS treatment, no money to see doctor"
Patient Subsidy Fund,Bone Marrow Donor Programme (BMDP),"Support costs associated with Matched Unrelated Donor (MUD) Hematopoietic Stem Cell Transplants as well as Post-Transplant expenses for patients. The Patient Subsidy Fund will be part of a range of subsidy schemes by the BMDP, aimed to alleviate patients’ treatment costs and support them through post-transplant expenditures.",Leukaemia patients,Financial assistance for bone marrow transplant costs,https://bmdp.org/patient-subsidies,https://chidnast.sirv.com/SchemesSG/BMDP.jpg,Healthcare,"Leukemia, leukaemia, no money for leukemia treatment"
Persons with Disabilities Concession Card,SGEnable,"Travel concession card for PWDs. Grants 25% discount or more off adult fares for all basic bus and train services fares, no additional fares for distances beyond 7.2km. Option to purchase a Hybrid Concession Pass (HCP) with unlimited rides on basic bus services and trains at $60 per month",PWDs,Transport assistance for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/schemes/transport/public-transport-concession-scheme-for-persons-with-disabilities/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Pioneer Generation Package,Ministry of Health (MOH),"Subsidies for outpatient care, MediShield Life premiums, MediSave top-ups annually for life and life-long cash assistance of $100 each month from the Pioneer Disability Assistance Scheme for those who qualify.",Elderly,Financial assistance for healthcare,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/pioneer-generation-package,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, free healthcare"
Public Rental Scheme,Housing and Development Board (HDB),"Flats under the Public Rental Scheme are heavily subsidised to cater to Singapore Citizen (SC) households who have no other housing options. As the number of rental flats under this scheme is limited, you must fulfil certain eligibility criteria to apply for a rental flat.","Low income,Need shelter","Shelter,Heavily subsidised housing",https://www.hdb.gov.sg/cs/infoweb/residential/renting-a-flat/renting-from-hdb/public-rental-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"No money to pay for housing, shelter, homeless, mortgage"
Safe Return Card,Alzheimers' Disease Association,"The Safe Return Card is an identification card to protect and help persons with dementia. The card provides a source of identification when they are lost, and gives caregivers a sense of security and ease of mind when person with dementia is unaccompanied outside of their home. Registering yourself or the person you are caring for with this service, would aid in giving you the peace of mind that this person can continue living as independently as possible.","Caregivers,Elderly,Dementia patients",Identification tag for persons with dementia,https://alz.org.sg/safe-return-card/,https://chidnast.sirv.com/SchemesSG/ada.jpg,"Elderly,Caregiver","Identify, dementia, alzheimers, elderly"
Seniors' Mobility and Enabling Fund (SMF),"Agency for Integrated Care (AIC), Ministry of Health (MOH)","Provides holistic support for seniors to age in place within the community by extending subsidies to Singaporean seniors requiring mobility and assistive devices for daily independent living and to remain ambulant in the community, and receiving government funded home care and care within the community, needing home healthcare items for their care.",Elderly,"Assistive technology assistance for elderly,Financial assistance for home care",https://www.aic.sg/financial-assistance/seniors-mobility-enabling-fund,https://chidnast.sirv.com/SchemesSG/aic.jpg,"Healthcare,Tech,Transport,Caregiver","Poor, no money to see doctor, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair"
Silver Housing Bonus,Housing and Development Board (HDB),"If you are selling your current flat or private housing with Annual Value not exceeding $13,000 and buying a 3-room or smaller flat, you can supplement your retirement income through the Silver Housing Bonus (SHB) scheme.Up to $30,000 cash bonus when you top-up your proceeds into your CPF Retirement Account (RA), and join CPF LIFE.",Elderly,Monetising flat for retirement income,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/monetising-your-flat-for-retirement/silver-housing-bonus,https://chidnast.sirv.com/SchemesSG/hdb.jpg,"Housing,Elderly","Retirement, reverse mortgage, old age"
Staggered Downpayment Scheme,Housing and Development Board (HDB),"You may be able to use the Staggered Downpayment Scheme to pay your downpayment in 2 instalments. Half of the downpayment is paid when you sign the Agreement for Lease, which is usually within 4 months of booking a flat. The remaining amount is paid during the key collection for your new flat.",In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/schemes-and-grants/staggered-downpayment-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Mortgage, cannot afford house, debt"
Subsidies for Government-Funded Intermediate and Long Term Care (ILTC) Services,Ministry of Health (MOH),"Subsidies for those who may be eligible for intermediate and long-term care (ILTC) services, after being discharged from an acute hospital, or needs supervision and assistance to manage daily life","Elderly,Need ILTC services","Financial assistance for ILTC,Financial assistance for healthcare","https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/subsidies-for-government-funded-intermediate-long-term-care-services#:~:text=Term%20Care%20Services-,Subsidies%20for%20Government%2Dfunded%20Intermediate%20Long%2DTerm%20Care%20Services,term%20care%20(ILTC)%20services.",https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair"
Subsidies for Services and Drugs at Public Healthcare Institutions,Ministry of Health (MOH),"The Ministry of Health (MOH) provides subsidies for drugs at our public hospitals, specialist outpatient clinics and polyclinics to ensure that patients have access to effective medications for common medical conditions in Singapore.","General public,Low income",Financial assistance for healthcare,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/drug-subsidies-schemes,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy, can't afford medical fees, healthcare, assistive device, wheelchair"
Subsidised Haemodialysis and Portable Subsidy Programme,Kidney Dialysis Foundation (KDF),"The subsidised haemodialysis programme at KDF serves needy kidney patients in Singapore, regardless of race or religion. The Portable Subsidy Programme serves to help needy patients who require greater medical attention that KDF is unable to provide in our step-down community care environment. Under the Portable Subsidy Programme, high-dependency dialysis patients can apply for financial assistance from KDF for their dialysis treatment at a private dialysis centre.","Kidney patients,Cancer patients,Stroke patients,Diabetes patients",FInancial assistance for dialysis,https://www.kdf.org.sg/subsidised-haemodialysis,https://chidnast.sirv.com/SchemesSG/KDF.jpg,"Low Income,Healthcare",dialysis
Tabung Amal Aidifitri Trust Fund,Tabung Amal Aidilfitri Trust Fund,"TAA Trust Fund (Tabung Amal Aidilfitri Trust Fund) was founded in 1992 with a mission to help the poor, needy and the less fortunate. Additionally, TAA beneficiaries include patients from low-income families who suffer from chronic diseases and illnesses such as kidney failure, stroke, cancer and diabetes.","Kidney patients,Cancer patients,Stroke patients,Diabetes patients","Financial assistance for healthcare,Financial assistance for cancer,Financial assistance for diabetes,Financial assistance for dialysis",http://www.taa.org.sg/subpage.asp?id=A048_09,https://chidnast.sirv.com/SchemesSG/taa.jpg,"Low Income,Healthcare","diabetes, stroke, high blood sugar, heart disease"
Taxi Subsidy Scheme,SGEnable,"Means-tested subsidy for taxi travel for the purpose of school, work or employment-related training supported by SG Enable",PWDs,Transport subsidy,https://www.sgenable.sg/pages/content.aspx?path=/schemes/transport/taxi-subsidy-scheme/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Temporary Loan Scheme,Housing and Development Board (HDB),"The Temporary Loan Scheme (TLS) helps flat buyers who intend to use the sale proceeds from their existing flat to pay for their new flat, without taking a long-term mortgage loan.",In need of mortgage assistance,Mortgage assistance,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/temporary-loan-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,Housing,"Mortgage, cannot afford house, debt"
The Straits Times School Pocket Money Fund,The Straits Times School Pocket Money Fund (SPMF),"To alleviate the financial burden faced by parents in providing for their children’s education (school fees, expenses, etc). Funds will also help children who are already facing difficulties in remaining in school to stay on.",Children from low income families,Financial assistance for education,https://www.spmf.org.sg/primary-secondary-students,https://chidnast.sirv.com/SchemesSG/stspmf.jpg,"Low Income,Education","Children, disabled, schoolchildren, need computer for school, need money for recess, no money to buy laptop, computer, schooling supplies"
Transport Subsidy and Assistive Device & Equipment Subsidy,Muscular Dystrophy Association of Singapore (MDAS),Members are provided up to 100% subsidy on a case-by-case basis. Subsidies for the purchase of life-saving medical equipment.,"Special needs children,Critical medical needs",Financial assistance for medical equipment,https://www.mdas.org.sg/service,https://chidnast.sirv.com/SchemesSG/mdas.jpg,"Special Needs,Transport","For muscular dystrophy, special needs, medical equipment, subsidy assistive device, wheelchair"
U Care Hardship Grant,National Trades Union Congress (NTUC),The U Care Hardship Grant provides a one-off assistance to low-income union members in the event that the member suffers hardship arising from accidents,Families who have just lost a breadwinner,Financial assistance,https://www.ntuc.org.sg/wps/portal/up2/home/aboutntuc/ucare/ucareprogrammes/details?WCM_GLOBAL_CONTEXT=/content_library/ntuc/home/areas+of+interest/care+and+share/u+care+programmes/af39420045ffb17db2f6b3f5baad8da0,https://chidnast.sirv.com/SchemesSG/ntuc.jpg,"Loss of Breadwinner,Low Income","Loss of breadwinner, loss of income earner, father die, mother die, father passed away, mother passed away, accident"
Vaccination and Childhood Developmental Screening Subsidies,Ministry of Health (MOH),The Vaccination and Childhood Development Screening Subsidies (VCDSS) enable all eligible Singapore Citizens (SCs) and Permanent Residents (PRs) to receive subsidies for nationally-recommended vaccinations and Childhood Development Screenings (CDS) at polyclinics and/or CHAS GP clinics.,"Chilren,Critical medical needs",Financial assistance for vaccination and screenings,https://www.moh.gov.sg/cost-financing/healthcare-schemes-subsidies/vaccination-and-childhood-developmental-screening-subsidies,https://chidnast.sirv.com/SchemesSG/MOH.jpg,Healthcare,"Poor, no money to see doctor, chronic, healthcare subsidy"
Various Programmes and Services,Rare Disorders Society Singapore (RDSS),"Various financial support schemes for medical intervention, power supply, special formula foods, consumables and other services.",Special needs children,"Financial assistance,Food",https://www.rdss.org.sg/programs-services/,https://chidnast.sirv.com/SchemesSG/rdss.jpg,Healthcare,"Healthcare, rare disease, kids, no money to see doctor, unknown disease"
Various schemes,Loving Heart Multi-Service Centre (Jurong),"Pupil Breakfast Scheme, free tuition, free TCM, screening, food gift and referral","Low income,Low income families","Food,TCM,Educational programmes",https://www.lovingheartj.org/pupil-breakfast-scheme,https://chidnast.sirv.com/SchemesSG/loving-heart-msc-jurong.jpg,"Low Income,Food,Referral,Healthcare","Low income, no money to buy food, have not eaten, hungry"
VWO Transport Subsidy Scheme,SGEnable,"Up to 80% subsidy for transport fees supporting eligible SC/PRs with disabilities who need to use dedicated transport provided by the Social Service Agencies (SSAs) to access the Early Intervention Programme for Infants and Children (EIPIC), Special Education (SPED) schools, Day Activity Centres (DACs), Sheltered Workshops (SWs) and Special Student Care Centres (SSCCs).","Caregivers,PWDs",Transport subsidy for PWDs,https://www.sgenable.sg/pages/content.aspx?path=/schemes/transport/vwo-transport-subsidies/,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,"PWD,Transport","Disabled, travelling, travel, transport, special needs"
Wheelchair Lifter Pilot Scheme,Housing and Development Board (HDB),"Wheelchair lifter at flat with multi-step main entrance, where technically feasible. Under a pilot scheme, we will offer the wheelchair lifter for flats with multi-step entrances if the ramp solutions offered under EASE cannot be installed due to site constraints.",Elderly,Retrofitting of flats to improve mobility for elderly,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/wheelchair-lifter-pilot-scheme,https://chidnast.sirv.com/SchemesSG/hdb.jpg,"Housing,Elderly","Disabled, elderly, home, renovation, retrofitting, accessibility"
Workfare Skills Support (WSS) Scheme,Workforce Singapore (WSG),"WSS encourages low wage workers to undertake training that leads to more impactful employment outcomes. Eligible individuals may receive: Training allowance for selected courses that individuals had paid for themselves, and a cash reward for completing training","Low wage workers,Low income","Employment assistance,Financial assistance for low wage workers",https://www.wsg.gov.sg/programmes-and-initiatives/workfare-skills-support-scheme-individuals.html,https://chidnast.sirv.com/SchemesSG/wsg.jpg,Work,"Low income, upskill, low wage workers,training"
YMCA FACES,Young Men's Christian Association (YMCA),"Short term financial assistance, bridging fund for emergency situations, and employment training for persons with special needs","Low income,Low income families,Special needs","Financial assistance for daily needs,Employment assistance for persons with special needs",https://www.ymca.org.sg/community-services/financial-assistance/ymca-faces/,https://chidnast.sirv.com/SchemesSG/ymca.jpg,"Low Income,Special Needs,Family","Financial assistance, money for daily expenses, household needs, befriending"
Assisi Hospice,Assisi Hospice,"Provides compassionate, personalised and quality Palliative Care to adults and children with life limiting illnesses through Inpatient, Home and Day Care services.","Facing end of life,Elderly,Caregivers",End-of-life care,https://www.assisihospice.org.sg/palliative/#ourcareservices,https://chidnast.sirv.com/SchemesSG/assissi.jpg,"Healthcare,End-of-Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick"
Singapore Hospice Council,Singapore Hospice Council,"An umbrella body representing organisations that actively provide hospice and palliative care in Singapore. Website provides information on organisations providing care, as well as for patients and caregivers seeking such care services.","Facing end of life,Elderly,Caregivers","End of life care,Emotional care",https://singaporehospice.org.sg/,https://chidnast.sirv.com/SchemesSG/shc.jpg,"Healthcare,End of Life","Hospice, Low Income, Palliative, Dying, Old, Elderly, Sick, Caregiver, Dying father, Dying mother"
Babes - A Helping Hand for Pregnant Teens,Babes - A Helping Hand for Pregnant Teens,"Staff will discuss the various options available in order for client to make an informed decision. Provides support and linking with the appropriate resources, depending on what the situation requires.","Teenagers facing pregnancy,Youth-at-risk",Counselling for pregnant teens,https://www.babes.org.sg/we-are-here-for-you/our-services/,https://chidnast.sirv.com/SchemesSG/babes.jpg,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion"
Pregnancy Crisis and Support,Pregnancy Crisis and Support,"For emotional support, guidance, help and referrals that could facilitate a decision, whatever that decision may be.","Teenagers facing pregnancy,Pregnant individuals in distress,Youth-at-risk",Counselling for pregnancy crises,https://www.pregnancycrisis.sg/Home,https://chidnast.sirv.com/SchemesSG/pcs.jpg,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion"
Tinkle Friend,Children-at-Risk Empowerment Association,"Tinkle Friend is a national toll-free helpline (1800 2744 788) and chatline for all primary-school-aged children in Singapore. Tinkle Friend provides support, advice, and information to lonely and distressed children, especially in situations when their parents or main caregivers are unavailable.","In need of mental healthcare,Children","Counselling for distressed children,Emotional care",https://tinklefriend.sg/,https://chidnast.sirv.com/SchemesSG/tinklefriend.jpg,Children,"Children depressed, children sad, bullied kids,primary school young children, alone, lonely, friends"
Star Shelter,Singapore Council of Women's Organisations,"Star Shelter aims to provide a safe temporary refuge for women and their children who are victims of family violence regardless of race, language, creed or religion.","Facing abuse,Need shelter","Shelter,Protection against violence",https://www.scwo.org.sg/what-we-do/services/star-shelter/,https://chidnast.sirv.com/SchemesSG/scwo.jpg,"Homeless,Family Violence","Family violence, abusive spouse, husband hit, wife hit"
Shelter of Displaced Families and Individuals,New Hope Community Services,"Temporary housing for homeless families, while assisting them to regain their footing in the society","Need shelter,Homeless",Shelter,https://www.newhopecs.org.sg/displacedfamiliesandindividuals,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,"Homeless,Family Violence","Homeless, no place to stay, no roof over head, no accommodation"
Transit Point @ Spooner,New Hope Community Services,Temporary housing to ex-offenders.,Ex-offenders,Shelter,https://www.newhopecs.org.sg/transit-point-spooner,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,"Homeless,Ex-offender","Ex offenders, ex convict, ex-convict, homeless, no place to stay, no roof over head, no accommodation"
Transit Point @ Margaret Drive,New Hope Community Services,Immediate safe accommodation for rough sleepers,Need shelter,Shelter,https://www.newhopecs.org.sg/tpmd,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,Homeless,"Homeless, no place to stay, no roof over head, no accommodation"
